"sitemonthyear","siteID","monthyear","year","plotID","species_richness","exotic_richness","exotic_cover","latitude","longitude","easting","northing","Dominant_NLCD_Classes"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_013",38,10,143,45.745332,-122.372807,548787.33,5065944.038,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_014",12,2,3,45.751186,-122.317373,553093.765,5066629.74,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_015",27,5,55,45.732279,-122.300349,554436.24,5064540.597,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_016",16,1,0.5,45.746995,-122.332415,551927.684,5066154.244,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_017",33,4,7.5,45.772764,-122.369799,548997.257,5068993.563,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_018",32,9,212.5,45.764526,-122.38678,547684.017,5068068.109,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_019",32,4,4.5,45.752593,-122.325825,552435.104,5066780.441,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_020",31,7,52.5,45.767791,-122.303342,554169,5068483.93,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_021",22,6,118,45.743937,-122.317109,553121.174,5065824.511,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_022",38,12,301.5,45.755549,-122.320429,552851.961,5067112.393,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_023",25,1,1.5,45.744589,-122.381659,548099.384,5065856.144,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_024",24,5,71,45.741379,-122.339833,551355.845,5065525.515,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_025",15,1,2,45.76953,-122.324489,552523.063,5068663.055,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_026",28,9,107.5,45.770172,-122.387515,547622.116,5068694.906,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_027",56,15,70.5,45.777447,-122.297106,554644.48,5069561.017,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_028",25,1,0.5,45.745361,-122.375882,548548.121,5065945.355,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_029",22,2,6,45.764081,-122.313751,553363.209,5068064.748,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_030",19,2,1,45.772435,-122.316395,553149.702,5068991.248,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_061",24,5,6.5,45.762451,-122.331158,552011.163,5067872.242,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_063",28,6,19.5,45.760513,-122.330039,552099.975,5067656.284,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2018-06","ABBY","2018-06","2018","ABBY_070",33,4,8.5,45.761334,-122.330793,552040.539,5067746.934,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2019-07","ABBY","2019-07","2019","ABBY_012",24,7,34,45.754263,-122.384239,547890.374,5066929.326,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2019-07","ABBY","2019-07","2019","ABBY_018",25,10,161,45.764526,-122.38678,547684.017,5068068.109,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2019-07","ABBY","2019-07","2019","ABBY_019",19,2,2.5,45.752593,-122.325825,552435.104,5066780.441,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2019-07","ABBY","2019-07","2019","ABBY_022",26,9,180.5,45.755549,-122.320429,552851.961,5067112.393,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2019-07","ABBY","2019-07","2019","ABBY_026",18,8,117,45.770172,-122.387515,547622.116,5068694.906,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2019-07","ABBY","2019-07","2019","ABBY_027",40,12,89.5,45.777447,-122.297106,554644.48,5069561.017,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"ABBY2019-07","ABBY","2019-07","2019","ABBY_029",19,3,3.5,45.764081,-122.313751,553363.209,5068064.748,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub"
"BART2016-07","BART","2016-07","2016","BART_002",5,NA,NA,44.035076,-71.272844,317882.48,4878280.117,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2016-07","BART","2016-07","2016","BART_004",6,NA,NA,44.041571,-71.28692,316774.55,4879032.785,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_001",11,NA,NA,44.047079,-71.306661,315210.079,4879688.618,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_002",7,NA,NA,44.035076,-71.272844,317882.48,4878280.117,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_003",18,NA,NA,44.055247,-71.263146,318721.132,4880499.227,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_004",8,NA,NA,44.041571,-71.28692,316774.55,4879032.785,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_005",14,NA,NA,44.054614,-71.282188,317193.825,4880470.942,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_006",7,NA,NA,44.060511,-71.310912,314911.395,4881190.079,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_007",9,NA,NA,44.049697,-71.298504,315871.695,4879961.157,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_010",6,NA,NA,44.050073,-71.26668,318422.209,4879932.269,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_011",12,NA,NA,44.050004,-71.296272,316051.378,4879990.249,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_012",13,NA,NA,44.046097,-71.316312,314433.816,4879601.245,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_013",10,NA,NA,44.041737,-71.277598,317521.947,4879030.504,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_015",6,NA,NA,44.042915,-71.27314,317882.785,4879151.529,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_016",16,NA,NA,44.051234,-71.288463,316680.814,4880109.495,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_018",9,NA,NA,44.058473,-71.277866,317551.944,4880890.032,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_019",19,NA,NA,44.069366,-71.286161,316921.113,4882118.35,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_023",11,NA,NA,44.049319,-71.263643,318663.202,4879841.849,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_024",6,NA,NA,44.052775,-71.263787,318662.201,4880226.054,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_025",10,NA,NA,44.059386,-71.313142,314729.242,4881070.195,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_026",9,NA,NA,44.061261,-71.313922,314672.622,4881280.215,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_027",7,NA,NA,44.057941,-71.261742,318841.789,4880795.293,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_028",8,NA,NA,44.054076,-71.306536,315241.884,4880465.593,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_029",7,NA,NA,44.057748,-71.28831,316713.177,4880832.731,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_030",7,NA,NA,44.053801,-71.308071,315118.02,4880438.49,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_031",12,NA,NA,44.055537,-71.305098,315361.608,4880624.609,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_036",8,NA,NA,44.062082,-71.285878,316921.313,4881308.67,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_040",26,NA,NA,44.06576,-71.29199,316443.143,4881730.835,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_062",4,NA,NA,44.057361,-71.305891,315303.699,4880828.963,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_066",9,NA,NA,44.056764,-71.310402,314940.563,4880772.839,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_068",7,NA,NA,44.052446,-71.309459,315002.619,4880291.05,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_071",15,NA,NA,44.067944,-71.290624,316559.305,4881970.375,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_079",10,NA,NA,44.0449,-71.320829,314068.229,4879478.52,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_080",8,NA,NA,44.047374,-71.319728,314164.112,4879750.8,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2018-06","BART","2018-06","2018","BART_081",5,NA,NA,44.060682,-71.262947,318753.657,4881102.401,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2019-07","BART","2019-07","2019","BART_004",7,NA,NA,44.041571,-71.28692,316774.55,4879032.785,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2019-07","BART","2019-07","2019","BART_023",8,NA,NA,44.049319,-71.263643,318663.202,4879841.849,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2019-07","BART","2019-07","2019","BART_024",6,NA,NA,44.052775,-71.263787,318662.201,4880226.054,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2019-07","BART","2019-07","2019","BART_025",7,NA,NA,44.059386,-71.313142,314729.242,4881070.195,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2019-07","BART","2019-07","2019","BART_026",12,NA,NA,44.061261,-71.313922,314672.622,4881280.215,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2019-07","BART","2019-07","2019","BART_036",9,NA,NA,44.062082,-71.285878,316921.313,4881308.67,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BART2019-07","BART","2019-07","2019","BART_068",6,NA,NA,44.052446,-71.309459,315002.619,4880291.05,"Deciduous Forest, Evergreen Forest, Mixed Forest"
"BLAN2016-08","BLAN","2016-08","2016","BLAN_001",23,6,248.5,39.087919,-77.958389,244121.666290298,4330700.2687522,"Deciduous Forest, Pasture/Hay"
"BLAN2016-08","BLAN","2016-08","2016","BLAN_002",24,7,376,39.092296,-77.980761,NA,NA,"Deciduous Forest, Pasture/Hay"
"BLAN2016-08","BLAN","2016-08","2016","BLAN_007",17,4,5,39.085485,-77.969265,243171.985558981,4330460.8739725,"Deciduous Forest, Pasture/Hay"
"BLAN2016-08","BLAN","2016-08","2016","BLAN_009",26,5,204,39.086824,-77.95775,244173.005455393,4330576.91706397,"Deciduous Forest, Pasture/Hay"
"BLAN2016-08","BLAN","2016-08","2016","BLAN_015",33,9,107.5,39.087544,-77.954623,244446.177017256,4330648.07760424,"Deciduous Forest, Pasture/Hay"
"BLAN2016-08","BLAN","2016-08","2016","BLAN_020",26,11,447,39.100938,-77.980394,242265.534909376,4332207.72253582,"Deciduous Forest, Pasture/Hay"
"BLAN2016-08","BLAN","2016-08","2016","BLAN_031",6,2,510.5,39.058809,-78.070547,753479.333,4327387.816,"Deciduous Forest, Pasture/Hay"
"BLAN2016-08","BLAN","2016-08","2016","BLAN_032",31,12,305,39.058572,-78.073305,753241.517,4327353.895,"Deciduous Forest, Pasture/Hay"
"BLAN2016-08","BLAN","2016-08","2016","BLAN_033",22,11,312.5,39.058229,-78.069151,753602.249,4327327.347,"Deciduous Forest, Pasture/Hay"
"BLAN2017-07","BLAN","2017-07","2017","BLAN_001",24,6,157.5,39.087919,-77.958389,244121.666290298,4330700.2687522,"Deciduous Forest, Pasture/Hay"
"BLAN2017-07","BLAN","2017-07","2017","BLAN_005",29,10,302.5,39.087456,-77.971942,242947.55124665,4330687.19755621,"Deciduous Forest, Pasture/Hay"
"BLAN2017-07","BLAN","2017-07","2017","BLAN_009",26,8,144.5,39.086824,-77.95775,244173.005455393,4330576.91706397,"Deciduous Forest, Pasture/Hay"
"BLAN2017-07","BLAN","2017-07","2017","BLAN_011",27,9,47.5,39.087243,-77.974013,242767.665049477,4330669.41183987,"Deciduous Forest, Pasture/Hay"
"BLAN2017-07","BLAN","2017-07","2017","BLAN_012",25,9,252.5,39.082046,-77.961088,243866.991942981,4330056.0454518,"Deciduous Forest, Pasture/Hay"
"BLAN2017-07","BLAN","2017-07","2017","BLAN_013",27,9,228.5,39.080851,-77.96809,243256.800102569,4329943.16802508,"Deciduous Forest, Pasture/Hay"
"BLAN2017-07","BLAN","2017-07","2017","BLAN_017",21,6,176.5,39.086353,-77.970992,243025.729433056,4330562.13964889,"Deciduous Forest, Pasture/Hay"
"BLAN2017-07","BLAN","2017-07","2017","BLAN_018",35,9,168.5,39.081529,-77.962499,243743.023155916,4330002.61936572,"Deciduous Forest, Pasture/Hay"
"BLAN2019-06","BLAN","2019-06","2019","BLAN_001",24,8,179,39.087919,-77.958389,244121.666290298,4330700.2687522,"Deciduous Forest, Pasture/Hay"
"BLAN2019-06","BLAN","2019-06","2019","BLAN_007",16,3,10,39.085485,-77.969265,243171.985558981,4330460.8739725,"Deciduous Forest, Pasture/Hay"
"BLAN2019-06","BLAN","2019-06","2019","BLAN_009",19,7,113.5,39.086824,-77.95775,244173.005455393,4330576.91706397,"Deciduous Forest, Pasture/Hay"
"BLAN2019-06","BLAN","2019-06","2019","BLAN_011",20,6,74.5,39.087243,-77.974013,242767.665049477,4330669.41183987,"Deciduous Forest, Pasture/Hay"
"BLAN2019-06","BLAN","2019-06","2019","BLAN_012",25,9,235.5,39.082046,-77.961088,243866.991942981,4330056.0454518,"Deciduous Forest, Pasture/Hay"
"BLAN2019-06","BLAN","2019-06","2019","BLAN_015",36,10,45,39.087544,-77.954623,244446.177017256,4330648.07760424,"Deciduous Forest, Pasture/Hay"
"BLAN2019-06","BLAN","2019-06","2019","BLAN_018",29,10,236.5,39.081529,-77.962499,243743.023155916,4330002.61936572,"Deciduous Forest, Pasture/Hay"
"BONA2017-08","BONA","2017-08","2017","BONA_003",12,NA,NA,65.201069,-147.486275,477241.564,7230951.278,"Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands"
"BONA2018-07","BONA","2018-07","2018","BONA_007",7,NA,NA,65.193678,-147.444473,479192.127,7230113.172,"Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands"
"BONA2018-07","BONA","2018-07","2018","BONA_019",13,NA,NA,65.1984,-147.481092,477481.873,7230651.968,"Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands"
"BONA2018-07","BONA","2018-07","2018","BONA_021",9,NA,NA,65.151634,-147.456573,478591.815,7225431.467,"Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands"
"CLBJ2017-05","CLBJ","2017-05","2017","CLBJ_031",56,NA,NA,33.375278,-97.595151,630681.931,3693772.963,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2017-05","CLBJ","2017-05","2017","CLBJ_032",61,4,201,33.406134,-97.593996,630743.201,3697195.761,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2017-05","CLBJ","2017-05","2017","CLBJ_034",47,NA,NA,33.321251,-97.57765,632391.857,3687804.606,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2017-05","CLBJ","2017-05","2017","CLBJ_035",36,1,8,33.329927,-97.579437,632212.369,3688764.37,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2017-05","CLBJ","2017-05","2017","CLBJ_036",60,NA,NA,33.397578,-97.57995,632062.408,3696264.855,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2017-05","CLBJ","2017-05","2017","CLBJ_038",35,NA,NA,33.414259,-97.597098,630442.546,3698092.837,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2017-05","CLBJ","2017-05","2017","CLBJ_039",43,1,26,33.329427,-97.583638,631822.133,3688703.552,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2017-05","CLBJ","2017-05","2017","CLBJ_040",16,1,0.5,33.378824,-97.646691,625882.127,3694102.735,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2017-05","CLBJ","2017-05","2017","CLBJ_041",26,3,96.5,33.410931,-97.662009,624411.434,3697644.222,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2017-05","CLBJ","2017-05","2017","CLBJ_042",22,NA,NA,33.371534,-97.597793,630441.76,3693354.515,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2017-05","CLBJ","2017-05","2017","CLBJ_043",36,NA,NA,33.409931,-97.595224,630623.323,3697615.275,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2017-05","CLBJ","2017-05","2017","CLBJ_044",31,NA,NA,33.416293,-97.657079,624862.186,3698244.719,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2017-05","CLBJ","2017-05","2017","CLBJ_045",34,2,30.5,33.403397,-97.568252,633141.462,3696924.986,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2017-05","CLBJ","2017-05","2017","CLBJ_046",27,NA,NA,33.403571,-97.58341,631731.495,3696924.926,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2017-05","CLBJ","2017-05","2017","CLBJ_049",22,NA,NA,33.413367,-97.635828,626842.436,3697945.995,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2017-05","CLBJ","2017-05","2017","CLBJ_051",14,NA,NA,33.369609,-97.594595,630742.157,3693145.145,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2017-05","CLBJ","2017-05","2017","CLBJ_055",46,1,1,33.32094,-97.574434,632691.673,3687774.215,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2017-05","CLBJ","2017-05","2017","CLBJ_056",10,NA,NA,33.39147,-97.663273,624321.63,3695484.968,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2017-05","CLBJ","2017-05","2017","CLBJ_057",13,NA,NA,33.372827,-97.64129,626393.231,3693444.288,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2017-05","CLBJ","2017-05","2017","CLBJ_058",10,NA,NA,33.374568,-97.578391,632242.239,3693715.404,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2017-05","CLBJ","2017-05","2017","CLBJ_059",47,1,25,33.37569,-97.631907,627261.948,3693773.193,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2017-05","CLBJ","2017-05","2017","CLBJ_060",44,2,86,33.377376,-97.635425,626932.226,3693955.84,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2018-05","CLBJ","2018-05","2018","CLBJ_001",47,2,35.5,33.397987,-97.568339,633141.62,3696324.985,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2018-05","CLBJ","2018-05","2018","CLBJ_002",50,1,0.5,33.40398,-97.571138,632872.228,3696985.964,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2018-05","CLBJ","2018-05","2018","CLBJ_003",52,1,0.5,33.403989,-97.572744,632722.868,3696984.829,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2018-05","CLBJ","2018-05","2018","CLBJ_033",42,2,1,33.380971,-97.620209,628342.456,3694373.135,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2018-05","CLBJ","2018-05","2018","CLBJ_034",39,NA,NA,33.321251,-97.57765,632391.857,3687804.606,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2018-05","CLBJ","2018-05","2018","CLBJ_036",40,NA,NA,33.397578,-97.57995,632062.408,3696264.855,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2018-05","CLBJ","2018-05","2018","CLBJ_042",18,NA,NA,33.371534,-97.597793,630441.76,3693354.515,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2018-05","CLBJ","2018-05","2018","CLBJ_044",27,NA,NA,33.416293,-97.657079,624862.186,3698244.719,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2018-05","CLBJ","2018-05","2018","CLBJ_049",17,1,1,33.413367,-97.635828,626842.436,3697945.995,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2018-05","CLBJ","2018-05","2018","CLBJ_050",54,2,14.5,33.379385,-97.622498,628131.9,3694194.459,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2018-05","CLBJ","2018-05","2018","CLBJ_051",21,NA,NA,33.369609,-97.594595,630742.157,3693145.145,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2018-05","CLBJ","2018-05","2018","CLBJ_057",14,NA,NA,33.372827,-97.64129,626393.231,3693444.288,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2018-05","CLBJ","2018-05","2018","CLBJ_059",55,2,51,33.37569,-97.631907,627261.948,3693773.193,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2018-05","CLBJ","2018-05","2018","CLBJ_060",37,2,43.5,33.377376,-97.635425,626932.226,3693955.84,"Deciduous Forest, Grassland/Herbaceous"
"CLBJ2019-04","CLBJ","2019-04","2019","CLBJ_036",55,NA,NA,33.397578,-97.57995,632062.408,3696264.855,"Deciduous Forest, Grassland/Herbaceous"
"DEJU2017-07","DEJU","2017-07","2017","DEJU_006",17,NA,NA,63.835171,-145.748058,561592.668,7079251.002,"Evergreen Forest, Shrub/Scrub, Woody Wetlands"
"DEJU2017-07","DEJU","2017-07","2017","DEJU_009",14,NA,NA,63.853315,-145.760668,560933.069,7081260.415,"Evergreen Forest, Shrub/Scrub, Woody Wetlands"
"DEJU2017-07","DEJU","2017-07","2017","DEJU_014",27,NA,NA,63.831139,-145.747612,561623.434,7078802.279,"Evergreen Forest, Shrub/Scrub, Woody Wetlands"
"DEJU2017-07","DEJU","2017-07","2017","DEJU_015",16,NA,NA,63.87415,-145.741425,561833.304,7083600.246,"Evergreen Forest, Shrub/Scrub, Woody Wetlands"
"DEJU2017-07","DEJU","2017-07","2017","DEJU_016",15,NA,NA,63.857875,-145.759874,560962.224,7081769.228,"Evergreen Forest, Shrub/Scrub, Woody Wetlands"
"DEJU2017-07","DEJU","2017-07","2017","DEJU_018",13,NA,NA,63.837932,-145.755235,561233.595,7079551.74,"Evergreen Forest, Shrub/Scrub, Woody Wetlands"
